City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Mezen,RU,2022-09-21 20:56:01,65.8522,44.24,37.13,87,95,5.84,overcast clouds
175,Mar Del Plata,AR,2022-09-21 20:56:02,-38.0023,-57.5575,52.95,81,0,11.5,clear sky
176,Yellowknife,CA,2022-09-21 20:53:56,62.456,-114.3525,55.92,67,75,19.57,broken clouds
177,Eganville,CA,2022-09-21 20:56:03,45.5334,-77.0994,71.51,90,74,10.25,broken clouds
178,Progreso,MX,2022-09-21 20:56:03,21.2833,-89.6667,90.1,64,11,12.82,few clouds
179,Lumut,MY,2022-09-21 20:56:04,4.2323,100.6298,75.22,94,20,0.0,few clouds
180,Brigantine,US,2022-09-21 20:56:04,39.4101,-74.3646,82.2,65,15,3.0,few clouds
181,Ongandjera,NA,2022-09-21 20:56:05,-17.8833,15.0667,68.72,23,0,12.5,clear sky
182,Nanortalik,GL,2022-09-21 20:56:05,60.1432,-45.2371,42.91,70,13,7.38,few clouds
183,Puerto Leguizamo,CO,2022-09-21 20:56:06,-0.1934,-74.7819,87.35,59,85,3.18,overcast clouds
184,Caxias,PT,2022-09-21 20:56:06,38.7031,-9.2767,71.92,87,20,12.66,few clouds
185,Nuuk,GL,2022-09-21 20:56:07,64.1835,-51.7216,43.88,75,99,11.99,overcast clouds
186,Barabinsk,RU,2022-09-21 20:56:07,55.3571,78.357,59.52,54,69,6.31,broken clouds
187,Paamiut,GL,2022-09-21 20:56:08,61.994,-49.6678,42.75,72,96,17.58,overcast clouds
188,Panaba,MX,2022-09-21 20:56:08,21.2833,-88.2667,85.57,65,34,12.75,scattered clouds
189,Mashhad,IR,2022-09-21 20:56:09,36.297,59.6062,68.14,40,0,6.91,clear sky
190,Inyonga,TZ,2022-09-21 20:56:09,-6.7167,32.0667,73.81,31,50,3.36,scattered clouds
191,Lata,PT,2022-09-21 20:56:10,40.1629,-8.3327,65.39,87,1,1.57,clear sky
192,Muroto,JP,2022-09-21 20:56:10,33.2833,134.15,72.66,80,100,17.09,overcast clouds
193,Yuancheng,CN,2022-09-21 20:56:11,36.652,107.7896,58.71,57,5,9.17,clear sky
194,Taunton,GB,2022-09-21 20:56:11,51.0211,-3.1047,59.56,86,96,1.01,overcast clouds
195,Fortuna,US,2022-09-21 20:56:12,40.5982,-124.1573,69.93,74,100,3.0,overcast clouds
196,Kruisfontein,ZA,2022-09-21 20:56:12,-34.0033,24.7314,54.88,57,23,4.23,few clouds
