City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
640,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
649,Rock Springs,US,76.05,overcast clouds,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
650,Palmas Bellas,PA,84.0,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
654,Ubala,CO,84.13,overcast clouds,4.7478,-72.5369,HATO SANTA LETICIA
658,Kirakira,SB,79.2,scattered clouds,-10.4544,161.9205,SanBiz Lodge
660,Puerto Escondido,MX,81.91,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
662,Half Moon Bay,US,75.88,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
664,Mogadishu,SO,77.88,broken clouds,2.0371,45.3438,Hotel Juba
665,Kalianget,ID,79.56,broken clouds,-7.05,113.9333,Pesanggrahan Garam
668,Matay,EG,81.03,clear sky,28.419,30.7792,Nag Aespen
672,Havelock,US,85.95,clear sky,34.8791,-76.9013,Sherwood Motel
674,Santa Flavia,IT,76.73,overcast clouds,38.085,13.5351,La Caletta
677,San Pedro,PH,79.83,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
683,University Place,US,81.45,clear sky,47.2356,-122.5504,Titlow Lodge
689,Spokane,US,76.24,overcast clouds,47.6166,-117.3677,Madison Inn by Riversage
693,Dwarka,IN,79.77,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
700,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
