City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
376,Rio Grande,BR,-32.035,-52.0986,58.95,88,100,18.79
377,Aswan,EG,24.0934,32.907,87.31,19,1,11.99
378,Naifaru,MV,5.4444,73.3657,82.17,73,100,9.15
379,Kinkala,CG,-4.3614,14.7644,73.33,74,73,6.11
380,Maxixe,MZ,-23.8597,35.3472,76.82,88,20,9.22
381,Ankazoabo,MG,-22.2833,44.5167,80.74,35,1,6.08
382,Sivas,TR,39.7916,37.0019,66.83,48,0,3.44
383,Lazaro Cardenas,MX,17.9583,-102.2,74.88,97,100,1.03
384,Businga,CD,3.3333,20.8833,72.21,86,84,0.78
385,Maceio,BR,-9.6658,-35.7353,69.24,100,20,4.61
386,Kaseda,JP,31.4167,130.3167,77.52,90,100,23.4
387,Kathu,TH,7.9178,98.3332,89.42,92,100,14.09
388,Salamiyah,SY,35.0113,37.0532,77.09,54,0,6.42
389,Kamaishi,JP,39.2667,141.8833,76.5,94,100,18.72
390,Kralendijk,BQ,12.15,-68.2667,78.78,89,63,4.61
391,Hudiksvall,SE,61.729,17.1036,48.43,85,100,12.08
